,ADP,ADAT,AZT,AAS,AHWVC,DPDAT,DPZT,DPAS,DPHWVC,DATZT,DATAS,DATHWVC,ZTAS,ZTHWVC,ASHWVC
46,-0.009375345,-0.039057872,0.049117519,0.071695691,-0.086021745,0.09754114,0.104221788,0.072149689,-0.201232847,0.46209825,-0.064735332,-0.17616058,0.007901401,-0.606143898,0.072532215
47,-0.205840234,-0.074701132,-0.058210371,0.058704,-0.059448174,0.010442712,0.052960725,0.058982613,-0.02968599,0.221056716,-0.04380641,0.64767355,-0.026284073,-0.292131881,0.056940001
48,-0.185798049,-0.116831712,0.053996181,0.071876461,-0.044035149,-0.047112155,-0.067771007,0.072093658,-0.111653559,0.17333166,-0.064320201,0.636083212,0.047434176,-0.398550009,0.071656278
49,-0.02658617,-0.051685765,0.033706714,0.071876461,0.04750635,0.483083402,0.3341419,0.072035635,0.494446631,0.793210985,-0.056583803,0.844602894,-0.044847186,0.717105491,0.050912356
50,-0.058464212,-0.08910352,-0.040122527,0.071918224,-0.055017263,-0.255944222,-0.445966862,0.072155481,-0.225802987,0.470146693,-0.042522009,0.77685738,-0.006181565,0.182245642,0.071143597
51,-0.009858606,-0.180572614,-0.102547739,0.07175136,-0.176270631,0.141960408,0.429729052,0.072140758,0.113661756,0.484769238,0.019322605,0.802217876,0.07182104,0.369254618,0.067359662
52,0.121067076,-0.183450513,-0.154818252,0.071876461,-0.131315084,-0.055538781,-0.108421011,0.072519868,0.012586697,0.366987033,-0.044305275,0.739811107,0.022609604,-0.136555445,0.071947954
53,0.844681914,0.320255001,-0.02982784,0.911408065,0.560666649,0.573419724,-0.125978433,0.835392602,0.548103811,-0.442483828,0.311325554,0.618032932,-0.032133245,-0.688576019,0.576258235
54,0.925955383,0.084137876,0.355461862,0.916644272,0.058516405,0.126142225,0.3594849,0.927133707,0.058865251,0.267871107,0.172005303,-0.053487912,0.439534963,0.021513082,0.058876373
55,0.63427007,0.085683437,0.170366052,0.335693619,-0.031615947,0.208917273,0.101830962,0.362656872,0.080602311,0.03346231,0.225581592,0.004300946,0.35341713,-0.310045907,-0.071392683
56,0.491281735,-0.088948405,-0.194555422,-0.062596771,-0.013411409,-0.030754408,-0.052544982,0.012971923,-0.054078828,0.467096108,-0.033171861,0.795219743,0.034895715,0.124832602,0.064101395
57,0.311995337,-0.086914295,-0.119155673,0.278737535,0.348346665,-0.131958281,-0.348598556,0.394223785,0.380906544,0.218716204,-0.099500225,-0.141939635,-0.31701531,-0.319364593,0.906809254
58,0.165225528,0.14412641,0.284908444,0.073556308,0.182394378,-0.234665765,-0.282025453,0.150051995,-0.232422547,0.556621885,-0.048212886,0.707996014,-0.051611383,0.249070912,-0.109665856
59,0.513156323,-0.292230436,-0.407570452,0.310591019,-0.255224731,-0.348265756,-0.305763809,0.361244738,-0.499490076,0.655257031,-0.271242298,0.741515194,-0.304387862,0.401604443,-0.378006433
60,0.438673967,-0.159100303,-0.142749432,0.354801211,-0.155752373,-0.313328241,-0.361364222,0.321974981,-0.392412367,0.338063146,-0.195227715,0.756260864,-0.346337391,0.311782595,-0.330142253
61,0.954157335,-0.318472113,-0.354711823,0.967251843,-0.571830461,-0.278663308,-0.267794357,0.948846122,-0.493113311,0.560175569,-0.326632231,0.686392661,-0.349932238,0.725415173,-0.603665529
